County,FIPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dixie County,12029,10.44,15.31,-10.61,3.39,-18.27,-22.52,-22.63,-14.07,-14.59,-16.75,-17.25,-22.71,-15.06,-20.04,-17.03,-17.93,-21.63,-28.65
Duval County,12031,17.09,16.14,12.75,12.36,13.51,13.98,13.12,15.35,15.04,9.51,12.11,3.16,-4.00,-10.81,-14.22,-16.30,-18.18,-21.27
Escambia County,12033,10.70,14.14,1.25,11.29,12.02,13.13,16.93,24.74,28.24,21.70,22.12,9.27,12.73,9.88,14.70,7.56,2.18,-2.52
Flagler County,12035,-14.60,-15.64,-20.16,-17.08,-16.86,-14.79,-14.80,-11.34,-13.88,-21.83,-20.70,-21.08,-18.25,-19.45,-22.53,-25.06,-24.42,-26.43
Franklin County,12037,49.15,38.69,8.82,58.48,74.54,65.74,78.86,38.92,27.74,20.53,1.46,45.14,24.48,56.38,36.92,30.44,16.98,24.05
Gadsden County,12039,-23.26,-12.88,-19.45,-9.53,-8.73,-10.96,-21.18,-12.71,-17.84,-10.17,-4.73,-22.73,-13.45,-23.73,-18.23,-18.61,-18.55,-30.43
Gilchrist County,12041,-38.22,-39.07,-35.74,-28.73,-32.28,-27.64,-41.19,-33.07,-23.27,5.87,-15.64,-32.85,-33.80,-32.38,-34.34,-33.79,-34.70,-50.66
Glades County,12043,8.41,4.71,12.17,17.41,25.41,26.23,21.45,21.75,39.71,24.84,6.53,-3.22,2.65,-4.71,-7.78,-18.87,-20.58,-20.35
Gulf County,12045,17.65,30.82,23.35,23.33,-14.00,1.90,10.35,29.89,23.38,23.50,15.91,8.10,-6.00,-3.09,0.99,-3.79,-7.67,-9.25
Hamilton County,12047,21.41,8.02,16.85,22.18,9.91,8.59,5.97,18.07,15.20,-2.22,30.95,11.98,5.25,2.53,8.37,-5.09,-14.93,-8.38
Hardee County,12049,26.56,17.03,15.84,-9.45,21.52,44.21,36.97,35.57,36.05,25.51,23.21,13.36,15.01,33.04,19.01,8.71,22.17,1.78
Hendry County,12051,17.81,24.86,15.43,38.61,48.15,49.28,27.70,27.16,28.28,56.79,50.38,35.71,46.62,39.51,28.08,34.26,30.18,42.96
Hernando County,12053,-25.74,-21.15,-22.80,-16.86,-12.85,-12.73,-5.13,-8.95,-2.93,-7.37,-8.37,-9.70,-10.78,-12.55,-14.64,-11.58,-19.12,-14.58
Highlands County,12055,-1.92,-2.85,2.00,17.02,10.68,11.36,14.27,11.11,1.97,9.18,2.47,-4.92,-2.55,-6.14,-13.23,-10.41,-14.47,-18.78
Hillsborough County,12057,6.50,4.94,3.63,1.16,1.75,9.50,18.63,29.31,32.09,22.47,19.61,17.29,12.03,5.74,5.42,5.19,-0.19,-8.09
Holmes County,12059,-7.45,-4.05,-4.92,1.58,8.39,7.56,31.68,2.00,3.16,-6.13,-8.78,-15.50,-6.02,-23.23,-20.46,-12.58,-16.18,-25.29
Indian River County,12061,4.92,-4.00,-0.96,-10.04,-17.34,-4.44,0.45,3.87,5.85,3.85,-3.72,-4.33,-7.17,-10.54,-15.34,-13.34,-16.03,-17.46
Jackson County,12063,-35.84,-34.93,-40.15,-33.95,-31.21,-32.60,-21.52,-27.19,-25.39,-25.88,-22.33,-31.37,-12.69,-8.43,-12.53,-20.42,-25.14,-30.29
Jefferson County,12065,-1.79,-8.13,2.77,11.43,3.11,-6.62,-26.28,-22.83,-18.35,-20.29,-18.44,-14.11,-11.34,-3.92,-17.15,-14.46,-13.14,-23.18
Lafayette County,12067,-26.72,-29.30,-48.32,-26.24,-26.55,-25.75,-39.19,-26.36,-19.10,-22.57,-34.67,-32.10,-35.19,-39.04,-25.84,-31.96,-35.72,-25.96
Lake County,12069,-6.57,-4.74,-5.92,-5.10,-11.22,-14.00,-13.79,-6.13,-6.52,-5.64,-7.70,-10.99,-3.33,-11.13,-14.13,-16.74,-21.02,-25.31
Lee County,12071,-8.12,-2.75,-8.11,-2.90,-0.57,-2.96,-5.34,-3.26,-1.13,1.85,1.87,-6.26,-8.75,-11.56,-12.60,-14.31,-18.70,-22.80
Leon County,12073,108.77,13.05,0.77,-0.57,-8.86,-11.67,-9.83,-9.73,-5.29,-7.95,-2.65,-11.03,-7.95,-16.56,-10.02,-12.85,-17.73,-22.64
Levy County,12075,-2.39,22.11,-8.52,-5.41,13.17,11.70,48.12,28.21,43.26,30.82,20.00,4.47,0.81,-2.75,-9.99,-39.97,-37.51,-34.63
Liberty County,12077,-16.70,-5.38,6.38,9.08,5.64,-7.81,-15.83,6.76,-0.93,-35.15,-31.54,-42.54,-44.93,-11.69,-18.31,-21.58,-29.89,-51.94
Madison County,12079,-36.17,-19.69,-2.11,-4.69,-8.58,-1.39,4.14,-3.61,3.86,1.58,-1.09,-2.50,5.39,0.55,9.60,12.29,6.29,-3.91
Manatee County,12081,-7.02,-1.27,-7.01,3.34,-4.58,4.03,5.34,9.78,13.12,10.55,12.79,8.67,5.51,-0.18,-3.33,-3.42,-7.26,-13.34
Marion County,12083,5.56,15.61,14.24,19.03,16.98,16.26,14.93,14.71,12.13,13.71,6.73,2.29,-1.01,-3.24,-5.40,-3.69,-2.13,-12.35
Martin County,12085,15.24,13.73,10.91,12.26,13.81,11.30,5.53,10.19,14.57,12.71,15.38,13.44,11.21,0.27,10.13,-3.53,-10.78,-10.64
Monroe County,12087,45.70,7.29,32.69,23.57,49.93,49.42,46.93,34.97,48.60,42.26,43.87,32.69,32.20,55.81,52.23,49.50,25.52,30.03
Nassau County,12089,-21.34,-24.89,-20.97,-19.77,-20.39,13.22,-25.56,-20.06,-15.73,-20.30,-14.51,-20.39,-18.99,-25.06,-23.75,-24.07,-27.26,-23.45
Okaloosa County,12091,-18.31,-1.81,-5.05,-0.28,7.88,8.33,20.28,18.23,22.27,23.87,20.63,13.34,6.54,4.97,21.49,8.18,9.13,6.08
Okeechobee County,12093,10.62,11.85,-2.79,-6.72,-7.25,5.17,-0.17,-5.07,-2.52,-1.73,4.34,-0.98,-0.96,2.15,-3.89,4.09,-2.31,-6.47
Orange County,12095,8.42,8.32,1.82,-1.91,-8.75,-9.43,-9.07,-6.47,-3.64,6.98,10.41,0.04,-1.08,-7.99,-9.18,-9.83,-10.24,-15.45
Osceola County,12097,17.99,18.46,19.07,16.73,19.37,20.45,11.95,18.96,23.69,26.34,15.29,2.73,6.27,1.09,0.13,-0.50,-8.36,-14.47
Palm Beach County,12099,-18.38,-14.01,-18.57,-16.22,-15.21,5.17,2.62,4.69,7.82,8.54,11.83,3.16,0.20,-7.42,-9.18,-10.36,-13.83,-19.32
Pasco County,12101,-16.00,-11.24,-11.34,-6.02,-0.41,-1.23,8.44,0.53,-1.14,-2.73,0.94,-2.30,-1.10,-4.51,-5.32,-9.31,-12.89,-16.43
Pinellas County,12103,-2.86,-6.45,-7.59,-5.51,-4.13,-2.87,-5.06,-6.06,-4.29,-2.85,-2.70,0.38,0.32,-4.66,-6.01,-6.85,-8.07,-10.08
Polk County,12105,-3.96,-6.95,0.69,4.51,2.95,-1.39,6.01,0.69,-1.02,-1.29,-3.84,-6.28,-0.36,-3.68,-2.40,-8.70,-7.13,-11.61
Putnam County,12107,13.28,6.98,3.23,4.34,23.13,36.71,24.63,26.50,27.18,22.21,20.95,19.49,20.33,7.96,1.67,-8.76,-16.30,-20.88
St. Johns County,12109,-25.42,-22.76,-24.55,-25.02,-40.73,-28.47,-28.69,-29.09,-21.92,-11.28,-19.69,-27.90,-29.46,-30.76,-30.65,-30.72,-32.11,-36.46
St. Lucie County,12111,35.48,7.53,5.74,6.02,14.13,23.89,5.52,10.59,10.12,13.54,12.20,3.36,-3.77,-6.61,-6.25,-5.36,-4.21,-10.51
Santa Rosa County,12113,-15.63,24.37,8.11,3.00,1.63,3.01,7.00,7.36,14.30,13.62,3.34,-1.91,-3.25,-11.22,-7.83,-16.13,-15.48,-17.66
Sarasota County,12115,-5.48,-5.28,-5.42,-6.77,-10.41,-6.93,-4.01,4.77,5.44,3.63,0.06,-7.85,-8.95,-11.64,-13.83,-14.43,-14.03,-21.04
Seminole County,12117,-17.57,-7.86,-13.67,-17.30,-19.83,-17.15,-13.77,-3.01,-2.41,-1.69,-1.10,-3.84,-5.81,-8.67,-10.00,-13.75,-15.48,-17.62
Sumter County,12119,-18.39,-17.36,-28.71,-34.05,-35.93,-35.73,35.64,-11.82,-14.13,-19.58,-16.33,-17.64,-22.10,-24.27,-26.33,-27.91,-29.42,-30.37
Suwannee County,12121,13.10,3.12,-1.63,-15.14,-14.70,-16.25,1.10,-6.07,-3.11,-4.95,-9.70,-9.81,-16.21,-14.97,-12.25,-15.47,-14.80,-19.26
Taylor County,12123,-3.47,3.80,-8.99,-9.09,-5.85,-11.09,-14.14,-7.14,18.96,19.32,13.31,13.58,18.23,11.37,34.68,28.14,9.52,4.00
Union County,12125,-37.42,-24.36,-26.24,-24.48,-25.37,-32.73,28.05,-18.83,-15.72,-22.97,-10.32,-15.74,-18.87,-13.87,-12.61,-14.67,-20.39,-30.21
Volusia County,12127,26.31,11.65,24.45,17.89,21.84,26.13,32.10,22.38,23.90,25.63,23.38,16.66,26.19,22.54,27.55,20.16,15.58,11.35
Wakulla County,12129,-16.10,18.21,0.14,-4.30,0.88,3.36,-6.20,-5.94,-4.18,-3.56,-0.35,-16.99,-21.72,-19.80,-31.83,-20.44,-24.82,-36.20
Walton County,12131,3.27,-3.75,0.79,-10.46,16.97,17.72,49.11,15.24,12.60,23.24,3.44,0.65,4.99,3.58,15.02,17.85,8.32,6.27
Washington County,12133,-28.78,-16.98,-18.77,-4.30,-1.55,0.59,32.07,7.68,23.52,29.19,8.21,-8.83,-6.11,-8.23,-10.48,-5.17,-14.12,-19.07
